eventID,droneID,startingLaunchpadIndexX,startingLaunchpadIndexY,shelfIndexX,shelfIndexY,followedBy,teleportToLaunchpadIndexX,teleportToLaunchpadIndexY,collidesWithNum
107,19,2,1,6,2,135,2,0,22
108,11,2,2,3,0,139,1,2,-2
109,22,2,1,2,3,136,7,1,19
110,25,4,2,0,1,141,2,2,-2
111,10,2,2,7,2,142,1,2,-2
112,6,5,2,6,1,144,9,1,-2
113,20,3,0,5,3,140,6,2,-2
114,29,4,1,8,1,143,2,0,-2
115,21,5,2,4,3,146,2,0,-2
116,17,9,2,8,0,149,6,1,-2
117,26,2,2,6,0,148,7,2,-2
118,28,3,1,1,1,145,8,0,-2
119,24,8,1,7,0,147,4,1,-2
120,4,8,1,5,1,152,3,1,-2
121,16,4,0,2,1,150,7,1,-2
122,1,6,0,3,1,151,4,0,-2
123,5,0,2,8,1,156,5,2,-2
124,9,7,2,2,2,159,4,1,-2
125,3,6,0,9,2,153,6,2,-2
126,23,2,1,7,2,157,1,0,-2
127,15,5,0,4,3,154,2,2,-2
128,0,7,0,4,0,155,6,0,-2
129,27,9,1,9,2,160,2,2,-2
130,2,2,2,4,1,166,0,1,20
131,12,3,1,5,2,162,8,1,-2
132,14,8,1,2,2,164,8,2,-2
133,7,1,0,9,3,158,3,0,-2
134,8,2,2,1,2,168,7,2,-2
135,19,2,0,6,0,161,9,1,-2
136,22,7,1,2,3,167,7,0,18
137,13,1,0,9,3,163,4,1,-2
138,18,7,0,5,1,165,2,2,22
139,11,1,2,7,3,171,9,1,-2
140,20,6,2,0,3,172,0,0,-2
141,25,2,2,7,2,175,7,2,21
142,10,1,2,0,2,176,4,2,-2
143,29,2,0,9,1,169,1,2,-2
144,6,9,1,8,0,174,3,2,-2
145,28,8,0,6,3,170,5,0,-2
146,21,2,0,7,0,173,1,2,25
147,24,4,1,0,0,178,0,0,1
148,26,7,2,3,0,182,2,1,16
149,17,6,1,9,2,179,5,1,-2
150,16,7,1,3,2,180,6,1,26
151,1,4,0,7,0,177,9,2,24
152,4,3,1,6,3,181,0,2,-2
153,3,6,2,2,3,186,9,1,-2
154,15,2,2,6,1,187,3,0,-2
155,0,6,0,4,3,183,9,0,-2
156,5,5,2,5,0,193,4,0,-2
157,23,1,0,6,0,184,0,1,-2
158,7,3,0,4,1,185,6,1,-2
159,9,4,1,3,2,188,5,2,13
160,27,2,2,5,0,194,6,2,-2
161,19,9,1,8,3,189,8,1,-2
162,12,8,1,8,3,190,1,1,-2
163,13,4,1,3,3,192,0,1,9
164,14,8,2,8,2,196,2,0,-2
165,18,2,2,3,1,197,3,0,-2
166,2,0,1,0,0,195,9,1,-2
167,22,7,0,1,0,191,1,2,-2
168,8,7,2,1,1,200,6,2,-2
169,29,1,2,3,1,202,9,2,-2
170,28,5,0,6,0,198,7,1,-2
171,11,9,1,0,3,201,9,1,-2
172,20,0,0,4,2,199,2,2,-2
173,21,1,2,4,0,204,7,1,-2
174,6,3,2,2,2,205,3,0,-2
175,25,7,2,9,0,206,0,2,-2
176,10,4,2,6,3,208,8,1,-2
177,1,9,2,2,0,211,1,1,0
178,24,0,0,4,3,203,8,1,-2
179,17,5,1,9,2,207,2,0,-2
180,16,6,1,7,3,209,5,2,-2
181,4,0,2,4,1,213,8,0,23
182,26,2,1,3,0,212,7,0,-2
183,0,9,0,6,2,210,6,2,1
184,23,0,1,4,3,214,8,2,4
185,7,6,1,8,1,216,1,0,-2
186,3,9,1,6,0,217,3,2,-2
187,15,3,0,4,1,215,3,1,-2
188,9,5,2,3,3,223,4,2,-2
189,19,8,1,0,1,219,5,0,-2
190,12,1,1,3,1,220,9,1,-2
191,22,1,2,7,1,-1,-1,-1,-2
192,13,0,1,7,3,221,1,0,-2
193,5,4,0,5,1,218,5,0,-2
194,27,6,2,1,1,-1,-1,-1,-2
195,2,9,1,8,3,225,6,2,-2
196,14,2,0,7,3,222,9,2,-2
197,18,3,0,8,2,224,4,0,-2
198,28,7,1,8,1,-1,-1,-1,-2
199,20,2,2,6,3,-1,-1,-1,-2
200,8,6,2,1,1,-1,-1,-1,-2
201,11,9,1,1,3,-1,-1,-1,-2
202,29,9,2,2,3,-1,-1,-1,-2
203,24,8,1,5,0,-1,-1,-1,-2
204,21,7,1,5,3,-1,-1,-1,-2
205,6,3,0,2,2,-1,-1,-1,-2
206,25,0,2,9,1,-1,-1,-1,-2
207,17,2,0,6,0,-1,-1,-1,-2
208,10,8,1,2,1,-1,-1,-1,-2
209,16,5,2,1,2,-1,-1,-1,-2
210,0,6,2,7,2,-1,-1,-1,-2
211,1,1,1,5,2,-1,-1,-1,-2
212,26,7,0,1,1,-1,-1,-1,-2
213,4,8,0,6,3,-1,-1,-1,-2
214,23,8,2,0,0,-1,-1,-1,-2
215,15,3,1,9,1,-1,-1,-1,-2
216,7,1,0,3,0,-1,-1,-1,-2
217,3,3,2,4,3,-1,-1,-1,-2
218,5,5,0,0,0,-1,-1,-1,-2
219,19,5,0,4,1,-1,-1,-1,-2
220,12,9,1,0,3,-1,-1,-1,-2
221,13,1,0,7,0,-1,-1,-1,-2
222,14,9,2,4,0,-1,-1,-1,-2
223,9,4,2,9,2,-1,-1,-1,-2
224,18,4,0,5,2,-1,-1,-1,-2
225,2,6,2,9,1,-1,-1,-1,-2
